date,adv,dec,nh,nl,issues
2026-06-11,5507.0,2155.0,366.0,264.0,7958.0
2026-06-12,4503.0,3095.0,478.0,170.0,7904.0
2026-06-15,4503.0,3095.0,478.0,170.0,7904.0
2026-06-16,4553.0,3142.0,547.0,144.0,7969.0
2026-06-17,4818.0,2820.0,338.0,312.0,7887.0
2026-06-18,4818.0,2820.0,338.0,312.0,7887.0
2026-06-22,4818.0,2820.0,338.0,312.0,7887.0
2026-06-23,3273.0,4435.0,430.0,344.0,7948.0
2026-06-24,3636.0,4035.0,212.0,367.0,7941.0
2026-06-25,3851.0,3823.0,362.0,363.0,7947.0
2026-06-26,4878.0,2800.0,490.0,332.0,7897.0
2026-06-29,4526.0,3183.0,422.0,203.0,7948.0
2026-07-01,4257.0,3482.0,516.0,128.0,7985.0
2026-07-02,4035.0,3670.0,496.0,125.0,8000.0
2026-07-06,4035.0,3670.0,496.0,125.0,8000.0
2026-07-07,2836.0,4868.0,331.0,170.0,7933.0
