date,v1,density,aiae_rt,hb6m,mdm2
2026-06-12,48.49,0,56.11,8,5719
2026-06-13,48.49,0,56.1,8,5719
2026-06-14,48.49,0,56.1,8,5719
2026-06-15,45.9,0,56.51,5,5719
2026-06-16,45.77,0,56.38,5,5719
2026-06-17,45.76,0,56.37,5,5719
2026-06-18,46.7,0,56.31,6,5719
2026-06-19,46.45,0,56.07,6,5719
2026-06-20,46.72,0,56.33,6,5719
2026-06-21,46.72,0,56.33,6,5719
2026-06-22,47.62,0,56.23,7,5719
2026-06-23,48.39,0,56.01,8,5719
2026-06-24,48.42,0,56.04,8,5719
2026-06-25,49.34,0,55.95,9,5719
2026-06-26,50.3,0,55.92,10,5719
2026-06-27,58.66,0,55.85,10,6141
2026-06-28,58.66,0,55.85,10,6141
2026-06-29,59.92,0,56.1,11,6141
2026-06-30,59.95,0,56.13,11,6141
2026-07-01,61.2,0,56.39,12,6141
2026-07-02,61.09,0,56.27,12,6141
2026-07-03,61.09,0,56.27,12,6141
2026-07-04,61.09,0,56.27,12,6141
2026-07-05,61.09,0,56.27,12,6141
2026-07-06,61.26,0,56.44,12,6141
2026-07-07,61.17,0,56.36,12,6141
2026-07-08,61.16,0,56.34,12,6141
2026-07-09,61.25,0,56.44,12,6141
2026-07-10,61.33,0,56.52,12,6141
2026-07-11,61.39,0,56.58,12,6141
2026-07-12,61.39,0,56.58,12,6141
2026-07-13,61.39,0,56.58,12,6141
2026-07-14,61.19,0,56.38,12,6141
2026-07-15,61.19,0,56.38,12,6141
2026-07-16,58.38,0,56.57,9,6141
2026-07-17,59.25,0,56.44,10,6141
2026-07-18,60.0,0,56.19,11,6141
2026-07-19,60.0,0,56.19,11,6141
2026-07-20,60.0,0,56.19,11,6141
2026-07-21,59.96,0,56.14,11,6141
2026-07-22,60.17,0,56.36,11,6141
2026-07-23,60.14,0,56.33,11,6141
2026-07-24,59.84,0,56.03,11,6141
2026-07-25,59.84,0,56.03,11,6141
2026-07-26,59.85,0,56.04,11,6141
2026-07-27,59.84,0,56.03,11,6141
2026-07-28,59.86,0,56.04,11,6141
2026-07-29,59.89,0,56.09,11,6140
2026-07-30,59.51,0,55.72,11,6140
2026-07-31,59.92,0,56.12,11,6140
2026-08-01,60.09,0,56.3,11,6140
2026-08-02,60.09,0,56.3,11,6140
2026-08-03,60.09,0,56.3,11,6140
2026-08-04,60.09,0,56.3,11,6140
2026-08-05,60.89,0,57.09,11,6140
